model_id,audit_id,image_id,rule_id,final_answer_label,predicted_answer,answer_correct,final_ambiguous,final_label_source,florence_bootstrap_disagreement
model_assisted_bootstrap,audit_001_0001,0000925,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0001,0000925,fall_harness,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0001,0000925,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0001,0000925,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0002,0001392,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0002,0001392,fall_harness,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0002,0001392,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0002,0001392,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0003,0001900,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0003,0001900,fall_harness,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0003,0001900,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0003,0001900,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0004,0004492,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0004,0004492,fall_harness,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0004,0004492,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0004,0004492,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0005,0004831,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0005,0004831,fall_harness,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0005,0004831,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0005,0004831,fall_harness,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0006,0000193,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0006,0000193,guardrail_edge,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0006,0000193,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0006,0000193,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0007,0000443,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0007,0000443,guardrail_edge,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0007,0000443,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0007,0000443,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0008,0000468,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0008,0000468,guardrail_edge,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0008,0000468,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0008,0000468,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0009,0000478,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0009,0000478,guardrail_edge,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0009,0000478,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0009,0000478,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0010,0000606,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
florence_grounding,audit_001_0010,0000606,guardrail_edge,violation,compliant,false,no,dual_annotator_agreement,True
ai_annotator_1,audit_001_0010,0000606,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
ai_annotator_2,audit_001_0010,0000606,guardrail_edge,violation,violation,true,no,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0011,0000871,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0011,0000871,guardrail_edge,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0011,0000871,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0011,0000871,guardrail_edge,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0012,0000005,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0012,0000005,ppe_hard_hat,violation,compliant,false,yes,dual_annotator_agreement,True
ai_annotator_1,audit_001_0012,0000005,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
ai_annotator_2,audit_001_0012,0000005,ppe_hard_hat,violation,violation,true,yes,dual_annotator_agreement,True
model_assisted_bootstrap,audit_001_0013,0000046,ppe_hard_hat,compliant,violation,false,yes,dual_annotator_agreement,True
florence_grounding,audit_001_0013,0000046,ppe_hard_hat,compliant,compliant,true,yes,dual_annotator_agreement,True
