image_id,rule_id,model_id,prompt_id,answer,evidence_objects,evidence_regions_xyxy,rationale,confidence,raw_response,provenance
0000007,ppe_hard_hat,baseline/model_assisted_annotation_v1,annotation_bootstrap,violation,"[""worker"",""head_protection"",""hard_hat""]","[[287,138,2048,1014]]","model-assisted bootstrap annotation, not human ground truth; source_quality=poor info; source_reason=Multiple workers not wearing hard hats nor high-visibility vests.",,"{""annotation_version"":""0.1.0-model-assisted"",""image_id"":""0000007"",""rule_id"":""ppe_hard_hat"",""question"":""Is each visible worker wearing required head protection?"",""expected_answer_seed"":""violation"",""annotator_id"":""gpt5_model_assisted_metadata_v1"",""applies_to_image"":""yes"",""answer_label"":""violation"",""evidence_objects"":""worker,head_protection,hard_hat"",""evidence_regions_xyxy"":""[[287,138,2048,1014]]"",""ambiguous"":""yes"",""image_quality_issue"":""yes"",""multi_worker_ambiguity"":""yes"",""model_evidence_acceptable"":""not_shown"",""free_text_notes"":""model-assisted bootstrap annotation, not human ground truth; source_quality=poor info; source_reason=Multiple workers not wearing hard hats nor high-visibility vests.""}",model_assisted_annotation_echo_not_independent_model
0000022,guardrail_edge,baseline/model_assisted_annotation_v1,annotation_bootstrap,compliant,"[""edge_or_opening"",""guardrail_or_barrier""]","[[0,0,779,764]]","model-assisted bootstrap annotation, not human ground truth; source_quality=rich info",,"{""annotation_version"":""0.1.0-model-assisted"",""image_id"":""0000022"",""rule_id"":""guardrail_edge"",""question"":""Is the visible elevated edge protected by a guardrail or equivalent barrier?"",""expected_answer_seed"":""compliant"",""annotator_id"":""gpt5_model_assisted_metadata_v1"",""applies_to_image"":""yes"",""answer_label"":""compliant"",""evidence_objects"":""edge_or_opening,guardrail_or_barrier"",""evidence_regions_xyxy"":""[[0,0,779,764]]"",""ambiguous"":""no"",""image_quality_issue"":""no"",""multi_worker_ambiguity"":""yes"",""model_evidence_acceptable"":""not_shown"",""free_text_notes"":""model-assisted bootstrap annotation, not human ground truth; source_quality=rich info""}",model_assisted_annotation_echo_not_independent_model
0000023,ppe_hard_hat,baseline/model_assisted_annotation_v1,annotation_bootstrap,compliant,"[""worker"",""head_protection"",""hard_hat""]","[[602,298,617,312]]","model-assisted bootstrap annotation, not human ground truth; source_quality=rich info; manifest_notes=missing_worker_box",,"{""annotation_version"":""0.1.0-model-assisted"",""image_id"":""0000023"",""rule_id"":""ppe_hard_hat"",""question"":""Is each visible worker wearing required head protection?"",""expected_answer_seed"":""compliant"",""annotator_id"":""gpt5_model_assisted_metadata_v1"",""applies_to_image"":""uncertain"",""answer_label"":""compliant"",""evidence_objects"":""worker,head_protection,hard_hat"",""evidence_regions_xyxy"":""[[602,298,617,312]]"",""ambiguous"":""yes"",""image_quality_issue"":""no"",""multi_worker_ambiguity"":""no"",""model_evidence_acceptable"":""not_shown"",""free_text_notes"":""model-assisted bootstrap annotation, not human ground truth; source_quality=rich info; manifest_notes=missing_worker_box""}",model_assisted_annotation_echo_not_independent_model
0000034,fall_harness,baseline/model_assisted_annotation_v1,annotation_bootstrap,compliant,"[""worker"",""fall_protection"",""harness""]","[[490,330,520,407]]","model-assisted bootstrap annotation, not human ground truth; source_quality=poor info",,"{""annotation_version"":""0.1.0-model-assisted"",""image_id"":""0000034"",""rule_id"":""fall_harness"",""question"":""Does the worker at height have visible fall-protection equipment?"",""expected_answer_seed"":""compliant"",""annotator_id"":""gpt5_model_assisted_metadata_v1"",""applies_to_image"":""yes"",""answer_label"":""compliant"",""evidence_objects"":""worker,fall_protection,harness"",""evidence_regions_xyxy"":""[[490,330,520,407]]"",""ambiguous"":""yes"",""image_quality_issue"":""yes"",""multi_worker_ambiguity"":""yes"",""model_evidence_acceptable"":""not_shown"",""free_text_notes"":""model-assisted bootstrap annotation, not human ground truth; source_quality=poor info""}",model_assisted_annotation_echo_not_independent_model
0000037,ppe_hard_hat,baseline/model_assisted_annotation_v1,annotation_bootstrap,compliant,"[""worker"",""head_protection"",""hard_hat""]","[[1183,6,1198,32]]","model-assisted bootstrap annotation, not human ground truth; source_quality=rich info",,"{""annotation_version"":""0.1.0-model-assisted"",""image_id"":""0000037"",""rule_id"":""ppe_hard_hat"",""question"":""Is each visible worker wearing required head protection?"",""expected_answer_seed"":""compliant"",""annotator_id"":""gpt5_model_assisted_metadata_v1"",""applies_to_image"":""yes"",""answer_label"":""compliant"",""evidence_objects"":""worker,head_protection,hard_hat"",""evidence_regions_xyxy"":""[[1183,6,1198,32]]"",""ambiguous"":""no"",""image_quality_issue"":""no"",""multi_worker_ambiguity"":""yes"",""model_evidence_acceptable"":""not_shown"",""free_text_notes"":""model-assisted bootstrap annotation, not human ground truth; source_quality=rich info""}",model_assisted_annotation_echo_not_independent_model
0000057,ppe_hard_hat,baseline/model_assisted_annotation_v1,annotation_bootstrap,compliant,"[""worker"",""head_protection"",""hard_hat""]","[[118,375,145,396]]","model-assisted bootstrap annotation, not human ground truth; source_quality=rich info",,"{""annotation_version"":""0.1.0-model-assisted"",""image_id"":""0000057"",""rule_id"":""ppe_hard_hat"",""question"":""Is each visible worker wearing required head protection?"",""expected_answer_seed"":""compliant"",""annotator_id"":""gpt5_model_assisted_metadata_v1"",""applies_to_image"":""yes"",""answer_label"":""compliant"",""evidence_objects"":""worker,head_protection,hard_hat"",""evidence_regions_xyxy"":""[[118,375,145,396]]"",""ambiguous"":""no"",""image_quality_issue"":""no"",""multi_worker_ambiguity"":""yes"",""model_evidence_acceptable"":""not_shown"",""free_text_notes"":""model-assisted bootstrap annotation, not human ground truth; source_quality=rich info""}",model_assisted_annotation_echo_not_independent_model
0000069,ppe_hard_hat,baseline/model_assisted_annotation_v1,annotation_bootstrap,compliant,"[""worker"",""head_protection"",""hard_hat""]","[[506,539,538,567]]","model-assisted bootstrap annotation, not human ground truth; source_quality=rich info",,"{""annotation_version"":""0.1.0-model-assisted"",""image_id"":""0000069"",""rule_id"":""ppe_hard_hat"",""question"":""Is each visible worker wearing required head protection?"",""expected_answer_seed"":""compliant"",""annotator_id"":""gpt5_model_assisted_metadata_v1"",""applies_to_image"":""yes"",""answer_label"":""compliant"",""evidence_objects"":""worker,head_protection,hard_hat"",""evidence_regions_xyxy"":""[[506,539,538,567]]"",""ambiguous"":""no"",""image_quality_issue"":""no"",""multi_worker_ambiguity"":""no"",""model_evidence_acceptable"":""not_shown"",""free_text_notes"":""model-assisted bootstrap annotation, not human ground truth; source_quality=rich info""}",model_assisted_annotation_echo_not_independent_model
0000074,fall_harness,baseline/model_assisted_annotation_v1,annotation_bootstrap,compliant,"[""worker"",""fall_protection"",""harness""]","[[406,726,437,790]]","model-assisted bootstrap annotation, not human ground truth; source_quality=rich info",,"{""annotation_version"":""0.1.0-model-assisted"",""image_id"":""0000074"",""rule_id"":""fall_harness"",""question"":""Does the worker at height have visible fall-protection equipment?"",""expected_answer_seed"":""compliant"",""annotator_id"":""gpt5_model_assisted_metadata_v1"",""applies_to_image"":""yes"",""answer_label"":""compliant"",""evidence_objects"":""worker,fall_protection,harness"",""evidence_regions_xyxy"":""[[406,726,437,790]]"",""ambiguous"":""no"",""image_quality_issue"":""no"",""multi_worker_ambiguity"":""yes"",""model_evidence_acceptable"":""not_shown"",""free_text_notes"":""model-assisted bootstrap annotation, not human ground truth; source_quality=rich info""}",model_assisted_annotation_echo_not_independent_model
0000079,guardrail_edge,baseline/model_assisted_annotation_v1,annotation_bootstrap,violation,"[""edge_or_opening"",""guardrail_or_barrier""]","[[12,513,1188,819]]","model-assisted bootstrap annotation, not human ground truth; source_quality=rich info; source_reason=The edge of the excavation is not protected.",,"{""annotation_version"":""0.1.0-model-assisted"",""image_id"":""0000079"",""rule_id"":""guardrail_edge"",""question"":""Is the visible elevated edge protected by a guardrail or equivalent barrier?"",""expected_answer_seed"":""violation"",""annotator_id"":""gpt5_model_assisted_metadata_v1"",""applies_to_image"":""yes"",""answer_label"":""violation"",""evidence_objects"":""edge_or_opening,guardrail_or_barrier"",""evidence_regions_xyxy"":""[[12,513,1188,819]]"",""ambiguous"":""no"",""image_quality_issue"":""no"",""multi_worker_ambiguity"":""yes"",""model_evidence_acceptable"":""not_shown"",""free_text_notes"":""model-assisted bootstrap annotation, not human ground truth; source_quality=rich info; source_reason=The edge of the excavation is not protected.""}",model_assisted_annotation_echo_not_independent_model
0000081,guardrail_edge,baseline/model_assisted_annotation_v1,annotation_bootstrap,compliant,"[""edge_or_opening"",""guardrail_or_barrier""]","[[1,404,1198,899]]","model-assisted bootstrap annotation, not human ground truth; source_quality=poor info",,"{""annotation_version"":""0.1.0-model-assisted"",""image_id"":""0000081"",""rule_id"":""guardrail_edge"",""question"":""Is the visible elevated edge protected by a guardrail or equivalent barrier?"",""expected_answer_seed"":""compliant"",""annotator_id"":""gpt5_model_assisted_metadata_v1"",""applies_to_image"":""yes"",""answer_label"":""compliant"",""evidence_objects"":""edge_or_opening,guardrail_or_barrier"",""evidence_regions_xyxy"":""[[1,404,1198,899]]"",""ambiguous"":""yes"",""image_quality_issue"":""yes"",""multi_worker_ambiguity"":""no"",""model_evidence_acceptable"":""not_shown"",""free_text_notes"":""model-assisted bootstrap annotation, not human ground truth; source_quality=poor info""}",model_assisted_annotation_echo_not_independent_model
