image_id,rule_id,model_id,prompt_id,answer,evidence_objects,evidence_regions_xyxy,rationale,confidence,raw_response,provenance
0000007,ppe_hard_hat,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""worker"",""head_protection"",""hard_hat""]","[[982,225,1199,406]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5437851908749768,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[968,227,1494,1428]],""object_boxes"":[[982,225,1199,406]],""confidence"":0.5437851908749768,""graded_score"":1.0,""inference_ms"":976.5757000423037,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000022,guardrail_edge,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""edge_or_opening"",""guardrail_or_barrier""]","[[0,0,779,764],[0,0,500,764],[0,277,499,764]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5717438025832442,"{""legacy_rule_id"":""rule_3"",""source_answer"":""compliant"",""worker_boxes"":[[398,213,437,292]],""object_boxes"":[[0,0,779,764],[0,0,500,764],[0,277,499,764]],""confidence"":0.5717438025832442,""graded_score"":1.0,""inference_ms"":261.00310002220795,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000023,ppe_hard_hat,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""worker"",""head_protection"",""hard_hat""]","[[602,298,617,312]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5802572652196082,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[],""object_boxes"":[[602,298,617,312]],""confidence"":0.5802572652196082,""graded_score"":NaN,""inference_ms"":236.20809998828918,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000034,fall_harness,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""worker"",""fall_protection"",""harness""]","[[490,330,520,407]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.6225356081101512,"{""legacy_rule_id"":""rule_2"",""source_answer"":""compliant"",""worker_boxes"":[[430,276,516,453]],""object_boxes"":[[490,330,520,407]],""confidence"":0.6225356081101512,""graded_score"":1.0,""inference_ms"":199.0084999706596,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000037,ppe_hard_hat,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,violation,"[""worker"",""head_protection"",""hard_hat""]","[[1183,6,1198,32]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5764435214389647,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[682,397,802,681]],""object_boxes"":[[1183,6,1198,32]],""confidence"":0.5764435214389647,""graded_score"":0.0,""inference_ms"":201.6676000203006,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000057,ppe_hard_hat,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""worker"",""head_protection"",""hard_hat""]","[[118,375,145,396],[163,373,185,391],[376,385,394,403]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.4021898894253272,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[110,374,166,451]],""object_boxes"":[[118,375,145,396],[163,373,185,391],[376,385,394,403]],""confidence"":0.4021898894253272,""graded_score"":1.0,""inference_ms"":260.23829996120185,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000069,ppe_hard_hat,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,violation,"[""worker"",""head_protection"",""hard_hat""]","[[506,539,538,567]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5445257829768317,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[323,628,386,800]],""object_boxes"":[[506,539,538,567]],""confidence"":0.5445257829768317,""graded_score"":0.0,""inference_ms"":201.32230001036078,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000074,fall_harness,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""worker"",""fall_protection"",""harness""]","[[406,726,437,790]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5163062302661794,"{""legacy_rule_id"":""rule_2"",""source_answer"":""compliant"",""worker_boxes"":[[405,725,440,796]],""object_boxes"":[[406,726,437,790]],""confidence"":0.5163062302661794,""graded_score"":1.0,""inference_ms"":207.60789996711537,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000079,guardrail_edge,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""edge_or_opening"",""guardrail_or_barrier""]","[[1,457,1198,676]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5740076380648783,"{""legacy_rule_id"":""rule_3"",""source_answer"":""compliant"",""worker_boxes"":[[175,372,235,542]],""object_boxes"":[[1,457,1198,676]],""confidence"":0.5740076380648783,""graded_score"":1.0,""inference_ms"":203.99969996651635,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000081,guardrail_edge,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""edge_or_opening"",""guardrail_or_barrier""]","[[1,404,1198,899]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.653765174759818,"{""legacy_rule_id"":""rule_3"",""source_answer"":""compliant"",""worker_boxes"":[[560,350,706,477]],""object_boxes"":[[1,404,1198,899]],""confidence"":0.653765174759818,""graded_score"":1.0,""inference_ms"":224.77919998345897,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000102,ppe_hard_hat,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""worker"",""head_protection"",""hard_hat""]","[[225,563,256,588]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.58155654922926,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[201,562,278,705]],""object_boxes"":[[225,563,256,588]],""confidence"":0.58155654922926,""graded_score"":1.0,""inference_ms"":204.64740000898018,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000116,ppe_hard_hat,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""worker"",""head_protection"",""hard_hat""]","[[561,529,704,656]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5297573805520577,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[157,531,939,1435]],""object_boxes"":[[561,529,704,656]],""confidence"":0.5297573805520577,""graded_score"":1.0,""inference_ms"":241.9388999696821,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000117,guardrail_edge,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""edge_or_opening"",""guardrail_or_barrier""]","[[0,534,959,1278],[0,536,704,1278]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5432143143067758,"{""legacy_rule_id"":""rule_3"",""source_answer"":""compliant"",""worker_boxes"":[[43,332,135,550]],""object_boxes"":[[0,534,959,1278],[0,536,704,1278]],""confidence"":0.5432143143067758,""graded_score"":1.0,""inference_ms"":247.84339999314398,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000120,struck_by_equipment,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,violation,"[""worker"",""heavy_equipment"",""proximity_zone""]","[[69,360,391,606]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5507315173745155,"{""legacy_rule_id"":""rule_4"",""source_answer"":""hazard"",""worker_boxes"":[[3,496,46,588]],""object_boxes"":[[69,360,391,606]],""confidence"":0.5507315173745155,""graded_score"":0.0,""inference_ms"":204.28800000809133,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000124,fall_harness,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,violation,"[""worker"",""fall_protection"",""harness""]","[[356,355,553,491]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5503853858847703,"{""legacy_rule_id"":""rule_2"",""source_answer"":""violation"",""worker_boxes"":[[770,343,1163,514]],""object_boxes"":[[356,355,553,491]],""confidence"":0.5503853858847703,""graded_score"":0.0,""inference_ms"":202.30849995277822,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000129,ppe_hard_hat,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,violation,"[""worker"",""head_protection"",""hard_hat""]","[[706,655,725,668]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5938650256554996,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[64,355,486,751]],""object_boxes"":[[706,655,725,668]],""confidence"":0.5938650256554996,""graded_score"":0.0,""inference_ms"":200.45219996245578,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000149,fall_harness,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""worker"",""fall_protection"",""harness""]","[[696,486,767,572]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5332741119729525,"{""legacy_rule_id"":""rule_2"",""source_answer"":""compliant"",""worker_boxes"":[[685,446,802,606]],""object_boxes"":[[696,486,767,572]],""confidence"":0.5332741119729525,""graded_score"":1.0,""inference_ms"":215.42410005349666,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000183,ppe_hard_hat,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,violation,"[""worker"",""head_protection"",""hard_hat""]","[[886,330,898,338]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5533054316682475,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[638,315,664,358]],""object_boxes"":[[886,330,898,338]],""confidence"":0.5533054316682475,""graded_score"":0.0,""inference_ms"":209.0059999609366,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000203,guardrail_edge,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,violation,"[""edge_or_opening"",""guardrail_or_barrier""]","[[1,448,515,530]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5446149790659547,"{""legacy_rule_id"":""rule_3"",""source_answer"":""violation"",""worker_boxes"":[[1067,320,1111,417]],""object_boxes"":[[1,448,515,530]],""confidence"":0.5446149790659547,""graded_score"":0.0,""inference_ms"":200.95540001057088,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000204,ppe_hard_hat,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""worker"",""head_protection"",""hard_hat""]","[[0,524,860,1069]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.611176068628473,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[0,380,290,623]],""object_boxes"":[[0,524,860,1069]],""confidence"":0.611176068628473,""graded_score"":1.0,""inference_ms"":216.53279999736696,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000205,struck_by_equipment,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,violation,"[""worker"",""heavy_equipment"",""proximity_zone""]","[[16,429,899,1198]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.6464500534865592,"{""legacy_rule_id"":""rule_4"",""source_answer"":""hazard"",""worker_boxes"":[[621,208,753,500]],""object_boxes"":[[16,429,899,1198]],""confidence"":0.6464500534865592,""graded_score"":0.0,""inference_ms"":207.48680003453046,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000229,ppe_hard_hat,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,compliant,"[""worker"",""head_protection"",""hard_hat""]","[[571,268,591,285]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.597574002175991,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[553,266,616,410]],""object_boxes"":[[571,268,591,285]],""confidence"":0.597574002175991,""graded_score"":1.0,""inference_ms"":201.34640001924708,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000233,ppe_hard_hat,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,violation,"[""worker"",""head_protection"",""hard_hat""]","[[130,404,145,416]]",Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.5588349747870649,"{""legacy_rule_id"":""rule_1"",""source_answer"":""violation"",""worker_boxes"":[[813,380,895,578]],""object_boxes"":[[130,404,145,416]],""confidence"":0.5588349747870649,""graded_score"":0.0,""inference_ms"":211.55589999398217,""decoding"":""beam""}",local_florence2_grounding_pipeline
0000253,guardrail_edge,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam,violation,"[""edge_or_opening"",""guardrail_or_barrier""]",[],Florence-2 open-vocabulary grounding with deterministic geometric decision layer.,0.597992957252395,"{""legacy_rule_id"":""rule_3"",""source_answer"":""violation"",""worker_boxes"":[],""object_boxes"":[],""confidence"":0.597992957252395,""graded_score"":NaN,""inference_ms"":262.721499952022,""decoding"":""beam""}",local_florence2_grounding_pipeline
