image_id,rule_id,model_id,prompt_id,answer,evidence_objects,evidence_regions_xyxy,rationale,confidence,raw_response,provenance
0000001,guardrail_edge,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000002,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000010,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000013,ppe_hard_hat,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000014,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000015,ppe_hard_hat,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000017,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000018,guardrail_edge,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000022,ppe_hard_hat,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000023,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000025,ppe_hard_hat,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000028,guardrail_edge,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000030,ppe_hard_hat,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000031,fall_harness,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000032,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000033,fall_harness,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000034,guardrail_edge,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000035,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000037,ppe_hard_hat,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000041,ppe_hard_hat,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000042,fall_harness,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000044,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000045,guardrail_edge,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000047,ppe_hard_hat,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000048,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000050,guardrail_edge,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000051,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000054,guardrail_edge,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000057,guardrail_edge,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000058,ppe_hard_hat,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000060,fall_harness,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000061,guardrail_edge,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000062,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000064,guardrail_edge,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000066,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000067,ppe_hard_hat,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000069,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
0000073,struck_by_equipment,baseline/majority_violation_v1,image_blind_prior,violation,[],[],Image-blind majority-class baseline.,,"{""answer"":""violation""}",deterministic_baseline_no_image_access
