image_id,rule_id,model_id,prompt_id,answer,evidence_objects,evidence_regions_xyxy,rationale,confidence,raw_response,provenance
0000001,guardrail_edge,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000002,struck_by_equipment,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000010,struck_by_equipment,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000013,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000014,struck_by_equipment,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000015,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000017,struck_by_equipment,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000018,guardrail_edge,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000022,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000023,struck_by_equipment,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000025,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000028,guardrail_edge,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
