image_id,rule_id,model_id,prompt_id,answer,evidence_objects,evidence_regions_xyxy,rationale,confidence,raw_response,provenance
0000007,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,violation,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""violation""}",weak_label_manifest_seed
0000022,guardrail_edge,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000023,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000034,fall_harness,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000037,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000057,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000069,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000074,fall_harness,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000079,guardrail_edge,baseline/manifest_seed_v1,manifest_seed,violation,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""violation""}",weak_label_manifest_seed
0000081,guardrail_edge,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000102,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,violation,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""violation""}",weak_label_manifest_seed
0000116,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,violation,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""violation""}",weak_label_manifest_seed
0000117,guardrail_edge,baseline/manifest_seed_v1,manifest_seed,violation,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""violation""}",weak_label_manifest_seed
0000120,struck_by_equipment,baseline/manifest_seed_v1,manifest_seed,violation,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""violation""}",weak_label_manifest_seed
0000124,fall_harness,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000129,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000149,fall_harness,baseline/manifest_seed_v1,manifest_seed,violation,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""violation""}",weak_label_manifest_seed
0000183,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000203,guardrail_edge,baseline/manifest_seed_v1,manifest_seed,violation,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""violation""}",weak_label_manifest_seed
0000204,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000205,struck_by_equipment,baseline/manifest_seed_v1,manifest_seed,compliant,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""compliant""}",weak_label_manifest_seed
0000229,ppe_hard_hat,baseline/manifest_seed_v1,manifest_seed,violation,[],[],Echoes the weak label from the pilot manifest; not a deployable model.,,"{""answer"":""violation""}",weak_label_manifest_seed
