intervention_id,image_id,rule_id,intervention_type,seed,target_box_xyxy,mask_box_xyxy,mask_target_iou,model_id,prompt_id,answer,evidence_regions_xyxy,worker_boxes_xyxy,object_boxes_xyxy,confidence,graded_score,raw_response,provenance
0000007:ppe_hard_hat:targeted,0000007,ppe_hard_hat,targeted_occlusion,,"[982,225,1199,406]","[982,225,1199,406]",1.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[599,164,892,431]]","[[316,248,970,1534]]","[[599,164,892,431]]",0.559570549055934,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[316,248,970,1534]],""object_boxes"":[[599,164,892,431]],""confidence"":0.559570549055934,""graded_score"":1.0,""inference_ms"":960.4458999820054,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000007:ppe_hard_hat:matched_random:42,0000007,ppe_hard_hat,matched_random_occlusion,42,,"[500,615,717,796]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[982,225,1199,406]]","[[968,227,1494,1428]]","[[982,225,1199,406]]",0.5441564731299877,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[968,227,1494,1428]],""object_boxes"":[[982,225,1199,406]],""confidence"":0.5441564731299877,""graded_score"":1.0,""inference_ms"":250.36809995071962,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000007:ppe_hard_hat:matched_random:43,0000007,ppe_hard_hat,matched_random_occlusion,43,,"[123,1337,340,1518]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[982,225,1199,406]]","[[968,227,1494,1428]]","[[982,225,1199,406]]",0.5444556722151381,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[968,227,1494,1428]],""object_boxes"":[[982,225,1199,406]],""confidence"":0.5444556722151381,""graded_score"":1.0,""inference_ms"":243.71810001321137,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000007:ppe_hard_hat:matched_random:44,0000007,ppe_hard_hat,matched_random_occlusion,44,,"[784,1033,1001,1214]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[982,225,1201,406]]","[[968,227,1494,1428]]","[[982,225,1201,406]]",0.5454150393073047,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[968,227,1494,1428]],""object_boxes"":[[982,225,1201,406]],""confidence"":0.5454150393073047,""graded_score"":1.0,""inference_ms"":259.13620000937954,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000007:ppe_hard_hat:matched_random:45,0000007,ppe_hard_hat,matched_random_occlusion,45,,"[238,322,455,503]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[982,225,1199,406]]","[[968,227,1494,1428]]","[[982,225,1199,406]]",0.5452806253784469,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[968,227,1494,1428]],""object_boxes"":[[982,225,1199,406]],""confidence"":0.5452806253784469,""graded_score"":1.0,""inference_ms"":233.83969999849796,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000007:ppe_hard_hat:matched_random:46,0000007,ppe_hard_hat,matched_random_occlusion,46,,"[1328,1250,1545,1431]",0.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[982,225,1199,406]]","[[968,227,1494,1425]]","[[982,225,1199,406]]",0.5422101410638009,1.0,"{""legacy_rule_id"":""rule_1"",""source_answer"":""compliant"",""worker_boxes"":[[968,227,1494,1425]],""object_boxes"":[[982,225,1199,406]],""confidence"":0.5422101410638009,""graded_score"":1.0,""inference_ms"":235.87330000009388,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000022:guardrail_edge:targeted,0000022,guardrail_edge,targeted_occlusion,,"[0,0,779,764]","[0,0,779,764]",1.0,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[779,0,906,553]]",[],"[[779,0,906,553]]",0.7404980564732915,nan,"{""legacy_rule_id"":""rule_3"",""source_answer"":""compliant"",""worker_boxes"":[],""object_boxes"":[[779,0,906,553]],""confidence"":0.7404980564732915,""graded_score"":NaN,""inference_ms"":276.15359995979816,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000022:guardrail_edge:matched_random:42,0000022,guardrail_edge,matched_random_occlusion,42,,"[128,1,907,765]",0.7161385757476583,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[0,0,133,764]]","[[0,0,906,764],[0,0,134,764]]","[[0,0,133,764]]",0.7533757534216751,1.0,"{""legacy_rule_id"":""rule_3"",""source_answer"":""compliant"",""worker_boxes"":[[0,0,906,764],[0,0,134,764]],""object_boxes"":[[0,0,133,764]],""confidence"":0.7533757534216751,""graded_score"":1.0,""inference_ms"":216.67970000999048,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000022:guardrail_edge:matched_random:43,0000022,guardrail_edge,matched_random_occlusion,43,,"[128,0,907,764]",0.7177508269018743,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[0,0,134,764]]","[[0,0,134,764]]","[[0,0,134,764]]",0.763210827750819,1.0,"{""legacy_rule_id"":""rule_3"",""source_answer"":""compliant"",""worker_boxes"":[[0,0,134,764]],""object_boxes"":[[0,0,134,764]],""confidence"":0.763210827750819,""graded_score"":1.0,""inference_ms"":193.33999999798834,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
0000022:guardrail_edge:matched_random:44,0000022,guardrail_edge,matched_random_occlusion,44,,"[128,1,907,765]",0.7161385757476583,microsoft/Florence-2-base-ft:grounding_pipeline,florence_grounding_beam_black_mask,compliant,"[[0,0,133,764]]","[[0,0,906,764],[0,0,134,764]]","[[0,0,133,764]]",0.7533757534216751,1.0,"{""legacy_rule_id"":""rule_3"",""source_answer"":""compliant"",""worker_boxes"":[[0,0,906,764],[0,0,134,764]],""object_boxes"":[[0,0,133,764]],""confidence"":0.7533757534216751,""graded_score"":1.0,""inference_ms"":219.24430003855377,""decoding"":""beam"",""mask_mode"":""black""}",local_florence2_grounding_pipeline_intervention
